employee_id,name,department,salary,hire_date,status,email,years_experience
69,Employee_69,Engineering,143096.0,March 15 2021,ACTIVE,emp69@company.com,-2.0
70,Employee_70,sales,179609.0,Nov 30 2019,active,emp70@company.com,4.0
71,Employee_71,marketing,105638.0,2020-07-04,Inactive,emp71@company.com,17.0
72,Employee_72,,154445.0,2019-11-30,,emp72@company.com,-5.0
73,Employee_73,marketing,95650.0,30/11/2019,Inactive,emp73@company.com,27.0
74,Employee_74,Engineering,9999999.0,07/04/2020,Active,emp74@company.com,31.0
75,  Employee_75  ,,,03/15/2021,ACTIVE,emp75@company.com,
76,Employee_76,HR,25301.0,2021-03-15,ACTIVE,emp76@company.com,28.0
77,  Employee_77  ,sales,78361.0,30/11/2019,Inactive,emp77@company.com,15.0
78,Employee_78,HR,106461.0,March 15 2021,Active,emp78@company.com,9.0
79,Employee_79,SALES,101509.0,30/11/2019,active,emp79@company.com,-2.0
80,Employee_80,sales,158232.0,2020-07-04,Inactive,emp80@company.com,
81,Employee_81,marketing,99144.0,30/11/2019,Inactive,emp81@company.com,35.0
82,Employee_82,SALES,123883.0,March 15 2021,active,emp82@company.com,20.0
83,  Employee_83  ,Marketing,124937.0,15-03-2021,Active,emp83@company.com,
84,  Employee_84  ,,140423.0,15-03-2021,active,emp84@company.com,16.0
85,Employee_85,marketing,129197.0,Nov 30 2019,ACTIVE,emp85@company.com,
86,Employee_86,sales,34410.0,2020-07-04,Active,emp86@company.com,6.0
87,Employee_87,Sales,-500.0,2021-03-15,ACTIVE,emp87@company.com,26.0
88,Employee_88,Sales,72200.0,2019-11-30,active,emp88@company.com,14.0
89,  Employee_89  ,,91578.0,30/11/2019,,emp89@company.com,-5.0
90,Employee_90,Engineering,103421.0,30/11/2019,active,emp90@company.com,6.0
91,Employee_91,SALES,174926.0,not-a-date,Inactive,emp91@company.com,-2.0
92,Employee_92,SALES,,March 15 2021,ACTIVE,emp92@company.com,16.0
93,Employee_93,Marketing,60855.0,2020-07-04,Active,emp93@company.com,-2.0
94,Employee_94,sales,110647.0,Nov 30 2019,ACTIVE,emp94@company.com,10.0
95,Employee_95,SALES,9999999.0,07/04/2020,Inactive,emp95@company.com,
96,Employee_96,marketing,9999999.0,03/15/2021,Active,emp96@company.com,23.0
97,Employee_97,marketing,93724.0,07/04/2020,active,emp97@company.com,35.0
98,  Employee_98  ,Marketing,83030.0,2020-07-04,Active,emp98@company.com,-5.0
99,Employee_99,HR,55440.0,30/11/2019,,emp99@company.com,
100,Employee_100,HR,,not-a-date,ACTIVE,emp100@company.com,
101,  Employee_101  ,SALES,9999999.0,07/04/2020,ACTIVE,emp101@company.com,29.0
102,Employee_102,HR,80602.0,2021-03-15,active,emp102@company.com,13.0
103,Employee_103,sales,170282.0,March 15 2021,active,emp103@company.com,
104,  Employee_104  ,HR,9999999.0,15-03-2021,Active,emp104@company.com,15.0
105,Employee_105,Sales,29136.0,2019-11-30,Active,emp105@company.com,32.0
106,  Employee_106  ,,143490.0,Nov 30 2019,Active,emp106@company.com,25.0
107,  Employee_107  ,Engineering,53301.0,03/15/2021,active,emp107@company.com,35.0
108,Employee_108,HR,9999999.0,Nov 30 2019,Active,emp108@company.com,35.0
109,Employee_109,sales,81367.0,30/11/2019,Active,emp109@company.com,16.0
110,Employee_110,Engineering,65013.0,03/15/2021,Active,emp110@company.com,8.0
111,Employee_111,HR,9999999.0,03/15/2021,Inactive,emp111@company.com,18.0
112,Employee_112,HR,117181.0,30/11/2019,Active,emp112@company.com,7.0
113,  Employee_113  ,Engineering,175496.0,not-a-date,ACTIVE,emp113@company.com,-2.0
114,  Employee_114  ,marketing,117018.0,2019-11-30,Active,emp114@company.com,24.0
115,  Employee_115  ,SALES,114363.0,03/15/2021,active,emp115@company.com,5.0
116,Employee_116,Engineering,136152.0,March 15 2021,Active,emp116@company.com,31.0
117,Employee_117,Engineering,105850.0,not-a-date,ACTIVE,emp117@company.com,16.0
118,Employee_118,Marketing,56453.0,15-03-2021,active,emp118@company.com,22.0
119,Employee_119,Engineering,36089.0,07/04/2020,,emp119@company.com,18.0
120,  Employee_120  ,sales,9999999.0,30/11/2019,ACTIVE,emp120@company.com,15.0
121,  Employee_121  ,Engineering,129975.0,07/04/2020,active,emp121@company.com,33.0
122,Employee_122,marketing,116586.0,15-03-2021,active,emp122@company.com,9.0
123,Employee_123,marketing,44753.0,30/11/2019,,emp123@company.com,
124,  Employee_124  ,Sales,107873.0,2020-07-04,,emp124@company.com,19.0
125,Employee_125,marketing,34858.0,03/15/2021,,emp125@company.com,2.0
126,Employee_126,SALES,174856.0,Nov 30 2019,Active,emp126@company.com,-5.0
127,Employee_127,,47106.0,30/11/2019,,emp127@company.com,-2.0
128,  Employee_128  ,SALES,126558.0,2021-03-15,ACTIVE,emp128@company.com,24.0
129,  Employee_129  ,HR,64419.0,07/04/2020,Inactive,emp129@company.com,5.0
130,Employee_130,SALES,123744.0,Nov 30 2019,Inactive,,-5.0
131,Employee_131,Engineering,-500.0,15-03-2021,ACTIVE,emp131@company.com,
132,  Employee_132  ,SALES,163027.0,15-03-2021,active,emp132@company.com,10.0
133,Employee_133,Marketing,36453.0,30/11/2019,Inactive,emp133@company.com,-2.0
134,Employee_134,HR,75860.0,30/11/2019,Inactive,emp134@company.com,
135,Employee_135,Sales,,07/04/2020,Active,emp135@company.com,7.0
136,Employee_136,HR,67024.0,2019-11-30,active,emp136@company.com,1.0
137,Employee_137,sales,128928.0,03/15/2021,Active,emp137@company.com,21.0
138,Employee_138,marketing,61070.0,15-03-2021,Inactive,not-an-email,1.0
139,Employee_139,Marketing,64195.0,2019-11-30,ACTIVE,emp139@company.com,15.0
140,Employee_140,marketing,144829.0,not-a-date,,emp140@company.com,18.0
141,  Employee_141  ,Engineering,117488.0,03/15/2021,ACTIVE,emp141@company.com,32.0
142,Employee_142,Engineering,158070.0,2021-03-15,ACTIVE,not-an-email,22.0
143,Employee_143,Marketing,52174.0,15-03-2021,,emp143@company.com,-5.0
144,  Employee_144  ,marketing,150444.0,not-a-date,active,emp144@company.com,2.0
145,Employee_145,marketing,106284.0,not-a-date,active,emp145@company.com,
146,Employee_146,marketing,112012.0,2019-11-30,Inactive,emp146@company.com,31.0
147,Employee_147,Sales,161125.0,03/15/2021,active,emp147@company.com,5.0
148,Employee_148,HR,102500.0,15-03-2021,ACTIVE,emp148@company.com,22.0
149,Employee_149,marketing,139017.0,03/15/2021,Inactive,emp149@company.com,-5.0
150,Employee_150,Marketing,,2021-03-15,active,emp150@company.com,-2.0
151,Employee_151,Marketing,33489.0,07/04/2020,Active,emp151@company.com,25.0
152,Employee_152,,98056.0,15-03-2021,Inactive,emp152@company.com,16.0
153,Employee_153,SALES,9999999.0,30/11/2019,active,emp153@company.com,-5.0
154,Employee_154,Marketing,108778.0,Nov 30 2019,ACTIVE,emp154@company.com,11.0
155,Employee_155,sales,158367.0,March 15 2021,Active,emp155@company.com,
156,Employee_156,Sales,169610.0,2019-11-30,Inactive,emp156@company.com,4.0
157,Employee_157,Engineering,108106.0,Nov 30 2019,,emp157@company.com,8.0
158,Employee_158,HR,,15-03-2021,active,emp158@company.com,
159,Employee_159,HR,90694.0,2020-07-04,Active,emp159@company.com,9.0
160,Employee_160,,,2021-03-15,,emp160@company.com,26.0
161,Employee_161,Marketing,32939.0,2020-07-04,Inactive,emp161@company.com,3.0
162,Employee_162,sales,133952.0,15-03-2021,ACTIVE,emp162@company.com,25.0
163,Employee_163,Sales,122134.0,30/11/2019,Inactive,emp163@company.com,-2.0
164,  Employee_164  ,marketing,134611.0,07/04/2020,ACTIVE,emp164@company.com,32.0
165,Employee_165,Sales,105882.0,Nov 30 2019,active,emp165@company.com,3.0
166,Employee_166,Sales,148361.0,2019-11-30,ACTIVE,emp166@company.com,23.0
167,Employee_167,sales,38410.0,2020-07-04,,emp167@company.com,7.0
168,  Employee_168  ,marketing,50344.0,Nov 30 2019,active,emp168@company.com,32.0
169,Employee_169,SALES,35201.0,Nov 30 2019,,emp169@company.com,20.0
170,Employee_170,HR,103442.0,Nov 30 2019,,emp170@company.com,23.0
171,Employee_171,HR,9999999.0,2021-03-15,ACTIVE,emp171@company.com,14.0
172,  Employee_172  ,HR,177967.0,2019-11-30,active,emp172@company.com,7.0
173,Employee_173,sales,140615.0,March 15 2021,,emp173@company.com,3.0
174,Employee_174,SALES,160969.0,30/11/2019,ACTIVE,emp174@company.com,34.0
175,Employee_175,marketing,117874.0,2020-07-04,active,emp175@company.com,19.0
176,Employee_176,Marketing,103017.0,30/11/2019,ACTIVE,emp176@company.com,17.0
177,Employee_177,Engineering,175333.0,2019-11-30,active,emp177@company.com,5.0
178,Employee_178,Marketing,140966.0,March 15 2021,ACTIVE,emp178@company.com,8.0
179,  Employee_179  ,Sales,178834.0,Nov 30 2019,active,emp179@company.com,30.0
180,Employee_180,HR,61036.0,15-03-2021,Inactive,emp180@company.com,18.0
181,Employee_181,Sales,-500.0,March 15 2021,Active,emp181@company.com,-2.0
182,Employee_182,Engineering,9999999.0,15-03-2021,ACTIVE,missing@,-2.0
183,Employee_183,Marketing,112829.0,30/11/2019,active,emp183@company.com,
184,Employee_184,Engineering,111686.0,not-a-date,ACTIVE,emp184@company.com,12.0
185,Employee_185,HR,,2019-11-30,active,emp185@company.com,15.0
186,  Employee_186  ,marketing,125551.0,07/04/2020,,emp186@company.com,15.0
187,Employee_187,sales,55991.0,Nov 30 2019,ACTIVE,emp187@company.com,18.0
188,Employee_188,sales,82894.0,30/11/2019,,emp188@company.com,30.0
189,Employee_189,Marketing,82255.0,03/15/2021,,emp189@company.com,7.0
190,Employee_190,sales,-500.0,15-03-2021,,emp190@company.com,31.0
191,  Employee_191  ,Sales,158791.0,Nov 30 2019,,emp191@company.com,19.0
192,Employee_192,Sales,128795.0,03/15/2021,ACTIVE,emp192@company.com,-2.0
193,Employee_193,,9999999.0,2019-11-30,active,emp193@company.com,26.0
194,  Employee_194  ,Engineering,125264.0,Nov 30 2019,ACTIVE,emp194@company.com,25.0
195,Employee_195,,,2020-07-04,,emp195@company.com,14.0
196,Employee_196,sales,115743.0,not-a-date,Inactive,emp196@company.com,1.0
197,Employee_197,Sales,42639.0,2021-03-15,Active,emp197@company.com,13.0
198,Employee_198,SALES,39796.0,07/04/2020,ACTIVE,emp198@company.com,33.0
199,Employee_199,HR,103774.0,15-03-2021,Inactive,,24.0
200,Employee_200,Engineering,108554.0,2019-11-30,,emp200@company.com,
37,Employee_37,HR,159066.0,2021-03-15,Active,emp37@company.com,12.0
119,Employee_119,Engineering,36089.0,07/04/2020,,emp119@company.com,18.0
15,Employee_15,marketing,68287.0,March 15 2021,active,emp15@company.com,23.0
144,  Employee_144  ,marketing,150444.0,not-a-date,active,emp144@company.com,2.0
106,  Employee_106  ,,143490.0,Nov 30 2019,Active,emp106@company.com,25.0
107,  Employee_107  ,Engineering,53301.0,03/15/2021,active,emp107@company.com,35.0
143,Employee_143,Marketing,52174.0,15-03-2021,,emp143@company.com,-5.0
136,Employee_136,HR,67024.0,2019-11-30,active,emp136@company.com,1.0
35,Employee_35,SALES,75627.0,2020-07-04,,emp35@company.com,34.0
100,Employee_100,HR,,not-a-date,ACTIVE,emp100@company.com,
63,Employee_63,Marketing,73535.0,Nov 30 2019,Active,emp63@company.com,23.0
66,  Employee_66  ,Marketing,44420.0,15-03-2021,ACTIVE,emp66@company.com,35.0
53,Employee_53,HR,,15-03-2021,Active,emp53@company.com,16.0
85,Employee_85,marketing,129197.0,Nov 30 2019,ACTIVE,emp85@company.com,
166,Employee_166,Sales,148361.0,2019-11-30,ACTIVE,emp166@company.com,23.0
